Category,Item,Description,MED Price,LRG Price
Classic Pizza,MARGHERITA,* Tom base * Mozzarella cheese * herbs & spices.,R74.90,R99.90
Classic Pizza,HAWAIIAN,* Mozzarella * Beef Ham * Pineapple,R74.90,R129.90
Classic Pizza,MACON AVO FETTA,* Mozzarella * Macon * Avocado * Feta.,R74.90,R159.90
Classic Pizza,REGINA,* Mozzarella * Beef Ham * Mushrooms.,R74.90,R129.90
Classic Pizza,VEGETARIAN,* Olives * Peppers * Mushrooms * Red Onion * Garlic,R74.90,R139.90
Classic Pizza,THREE CHEESE,* Mozzarella * Cheddar * Feta.,R74.90,R119.90
Classic Pizza,PEPPERONI,* Mozzarella * Pepperoni Sausage.,R74.90,R139.90
Classic Pizza,FOCACCIA,* Olive oil * Herbs * Garlic.,R54.90,R64.90

Classic Pizza,DUO,* Any Two Oh So Heavenly Pizza Shared,,R179.00

Oh So Heavenly,SOMETHING MEATY,* Mozzarella * Macon * Beef Strips * Pepperoni * Chorizo * Cheese Griller * Spare Rib.,,R179.00
Oh So Heavenly,STEAK DELUXE,* Mozzarella * Beef Strips * Red Onion * Mushrooms * Peppers.,,R159.00
Oh So Heavenly,BBQ CHICKEN,* Mozzarella * Chicken * Red Onion * BBQ Sauce,,R149.00
Oh So Heavenly,SWEET CHILLI CHIC.,* Mozzarella * Chicken * Mushrooms * Sweet Chilli Sauce * Peppadews * Avocado.,,R149.00
Oh So Heavenly,CHICK MAYO,* Mozzarella * Our Own Chicken Mayo Recipe,,R129.00
Oh So Heavenly,SPARE RIB,* Mozzarella * Spare Rib * Caramelized Onion.,,R149.00
Oh So Heavenly,CHORIZO,* Chorizo Sausage * Caramelized Onions * Green Pepper.,,R149.00
Oh So Heavenly,CHESSE GRILLER,* Mozzarella * Cheddar * Cheese Griller.,,R139.00